fpu,mean,median
ALB_ALB,108,100
ALK_USA,1020,879
AMA_BOL,985,900
AMA_BRA,1911,1526
AMA_COL,3192,3391
AMA_ECU,416,129
AMA_PER,1434,1188
AMD_AFG,1371,1315
AMD_TJK,2008,1821
AMD_TKM,1662,1589
AMD_UZB,1943,1768
AMR_CHM,874,859
AMR_RUS,1252,1267
ARA_IRQ,861,758
ARK_USA,505,485
ARM_ARM,515,497
AZE_AZE,655,646
BAL_BLT,123,115
BAL_RUS,199,216
BLA_RUS,409,410
BLA_TUR,142,141
BLA_UKR,222,223
BLZ_BLZ,273,220
BOR_IDN,523,344
BOR_MYS,383,253
BRT_BGD,265,280
BRT_BTN,1041,902
BRT_CHM,1215,1119
BRT_IND,802,626
CAF_AGO,468,414
CAF_CAF,994,923
CAF_CMR,600,562
CAF_COG,450,447
CAF_GAB,660,579
CAF_GNQ,219,199
CAF_NAM,524,502
CAL_USA,138,121
CAN_CAN,2055,1911
CAU_AUS,911,819
CAV_IND,155,153
CHC_CHL,414,266
CHJ_CHM,485,354
CHO_IND,194,198
CHU_KAZ,2403,2338
CHU_KGZ,2240,2147
COB_CAN,469,420
COB_USA,329,311
COL_USA,596,575
CON_AGO,686,666
CON_CAF,2144,2135
CON_COD,1782,1808
CON_COG,1500,1453
CRB_CRB,137,39
CRI_CRI,179,132
CUB_CUB,108,96
DAN_AUT,248,248
DAN_BGR,215,203
DAN_CZE,314,322
DAN_DEU,334,341
DAN_HRV,99,81
DAN_HUN,363,363
DAN_MDA,207,203
DAN_OBN,254,258
DAN_ROU,290,300
DAN_SVK,415,416
DAN_SVN,102,102
DAN_TUR,70,67
DAN_UKR,85,76
DNI_BLR,450,454
DNI_RUS,569,582
DNI_UKR,273,269
DOM_DOM,100,76
EAC_BDI,1037,1035
EAC_COD,1502,1446
EAC_RWA,1035,1026
EAC_TZA,668,646
EAU_AUS,194,162
EGH_IND,175,169
ELB_DEU,136,133
ELB_DNK,30,27
EME_CYP,40,36
EME_EGY,204,171
EME_ISR,73,71
EME_JOR,435,327
EME_LBN,69,60
EME_PSE,109,107
EME_SYR,217,181
EME_TUR,125,116
FJI_FJI,173,131
FNP_FNP,140,135
GAN_BGD,179,165
GAN_CHM,1106,1027
GAN_IND,587,579
GAN_NPL,979,852
GBA_USA,477,486
GEO_GEO,303,296
GLA_CAN,204,145
GLA_USA,55,47
GOD_IND,345,340
GRC_GRC,49,39
GRL_GRL,7210,6016
GSA_GSA,1723,1421
GTM_GTM,362,310
HAI_CHM,244,238
HND_HND,318,201
HOA_ETH,820,811
HOA_KEN,534,504
HOA_SOM,501,474
HTI_HTI,124,119
HUA_CHM,178,175
HUN_CHM,641,622
HWI_USA,77,49
IEC_IND,140,121
IND_CHM,1444,1396
IND_IND,875,753
IND_PAK,786,672
INE_IDN,992,731
INW_IDN,230,158
IRL_IRL,33,32
ISL_ISL,204,152
ITA_ITP,66,57
JAM_JAM,50,38
JAP_JPN,48,39
KAL_BWA,919,902
KAL_NAM,414,361
KAL_ZAF,631,625
KRI_IND,214,211
LAJ_CHM,1507,1376
LBA_KAZ,2580,2511
LBO_FRP,89,82
LCB_CAF,1768,1778
LCB_CMR,861,849
LCB_NER,2653,2433
LCB_NGA,671,667
LCB_TCD,1640,1503
LIM_BWA,777,748
LIM_MOZ,318,280
LIM_ZAF,401,401
LIM_ZWE,633,595
LMO_CHM,1133,1061
LMO_MNG,1632,1562
LTZ_KAZ,2564,2510
LUN_IND,280,315
MAD_MDG,529,502
MAT_IND,337,321
MAU_AUS,353,325
MCK_CAN,1592,1452
MEK_KHM,379,352
MEK_LAO,719,671
MEK_MMR,831,774
MEK_THA,405,409
MEK_VNM,207,205
MHN_IND,332,341
MIM_MEX,348,323
MIS_USA,148,133
MOU_USA,647,673
NAC_DZA,227,193
NAC_EGY,848,641
NAC_LBY,526,364
NAC_TUN,286,206
NEB_BRA,331,275
NER_RUS,1019,796
NIC_NIC,367,318
NIG_BEN,612,602
NIG_BFA,798,793
NIG_CIV,416,411
NIG_CMR,805,788
NIG_GIN,438,433
NIG_MLI,1771,1505
NIG_NER,1051,973
NIG_NGA,395,409
NIG_TCD,1104,1116
NKP_PRK,171,144
NLL_DJI,221,215
NLL_EGY,576,463
NLL_ERI,500,387
NLL_ETH,773,758
NLL_SDN,1591,1223
NLL_SSD,1819,1757
NLL_UGA,1017,1025
NOR_NOR,114,94
NWA_MOR,385,267
NWA_MRT,722,553
NWS_COL,446,341
NWS_ECU,806,576
NZE_NZL,179,104
OAO_OAO,1103,1080
OBB_CHM,2176,2115
OBB_KAZ,2262,2268
OBB_RUS,2207,2181
ODE_DEU,100,94
ODE_POL,206,203
ODE_RUS,81,80
OHI_USA,211,207
OIO_OIO,6591,10623
OPO_OPO,298,135
ORA_LSO,370,368
ORA_NAM,319,314
ORA_ZAF,409,402
ORI_COL,1549,947
ORI_VEN,1678,497
PAN_PAN,316,208
PAO_PNG,1123,921
PAR_ARG,348,326
PAR_BOL,848,764
PAR_BRA,398,321
PAR_PRY,483,375
PEC_PER,196,170
PHI_PHL,136,81
PRT_PRT,79,76
RAP_RAP,296,258
RHI_BLX,51,42
RHI_CHP,247,250
RHI_DEU,237,248
RHI_FRP,190,195
RHI_NLD,40,37
RHO_FRP,140,143
RIC_ARG,473,437
RIG_MEX,581,598
RIG_USA,556,641
RRS_RUS,3013,2774
RVE_VEN,1031,827
RVN_VNM,200,160
RWI_CAN,826,790
RWI_USA,316,293
SAC_SWZ,194,194
SAC_ZAF,207,190
SAF_MOZ,345,297
SAF_TZA,656,698
SAF_ZWE,390,389
SAH_DZA,2170,1900
SAH_EGY,2344,1915
SAH_LBY,2177,1683
SAH_MLI,5355,5382
SAH_MOR,410,380
SAH_MRT,3541,2862
SAH_NER,2491,2372
SAH_SDN,4063,3112
SAH_TCD,3590,3498
SAL_ARG,365,320
SAN_BRA,325,298
SAU_SAU,841,572
SAY_IND,88,80
SEI_FRP,97,88
SEN_GIN,289,242
SEN_MLI,1030,1030
SEN_MRT,1368,1193
SEN_SEN,512,550
SEU_USA,126,115
SKP_KOR,58,54
SLB_SLB,612,562
SLV_SLV,83,78
SON_CHM,597,533
SPP_SPP,115,109
SRL_LKA,107,95
SWE_SWE,131,105
SYD_KAZ,1982,1915
SYD_KGZ,2041,1996
SYD_TJK,1704,1628
SYD_UZB,1729,1706
TIE_ARG,285,257
TIG_IRN,301,304
TIG_IRQ,485,494
TIG_SYR,322,323
TIG_TUR,302,281
TLS_TLS,180,174
TMM_BGD,254,181
TMM_MMR,679,546
TMM_MYS,202,118
TMM_OSA,201,128
TMM_THA,265,218
TOC_BRA,651,663
TWN_CHM,101,71
UKP_UKP,32,28
UME_MEX,395,366
UMO_MNG,1627,1578
UMO_RUS,1582,1568
URA_KAZ,1384,1249
URA_RUS,1372,1397
URA_TKM,1804,1727
URU_BRA,209,210
URU_URY,214,209
USN_USA,78,69
VOG_RUS,883,857
VOT_BEN,383,393
VOT_BFA,673,671
VOT_CIV,278,274
VOT_GHA,337,341
VOT_MLI,959,973
VOT_TGO,263,268
VUT_VUT,381,378
WAC_CIV,257,247
WAC_GIN,384,384
WAC_GMB,206,188
WAC_GNB,250,255
WAC_LBR,275,231
WAC_SEN,278,256
WAC_SLE,247,239
WAI_AFG,1135,1117
WAI_IRN,655,611
WAI_PAK,613,592
WAI_TKM,1516,1451
WAU_AUS,426,389
WGM_USA,278,256
YEM_YEM,696,565
YEN_RUS,2989,2516
YHE_CHM,2491,2174
YRD_CHM,647,631
YRD_VNM,350,324
YUC_MEX,248,213
ZAM_AGO,1137,1130
ZAM_BWA,920,898
ZAM_COD,1448,1404
ZAM_MOZ,421,386
ZAM_MWI,589,591
ZAM_NAM,558,558
ZAM_TZA,959,975
ZAM_ZMB,1011,1004
ZAM_ZWE,538,532
ZHJ_CHM,279,235
